GitHub,creationDate,endDate,RestrictedContributionsCount,CommitContributions,PullRequestReviewContributions,commitComments,issueComments,gistComments,repositoryDiscussionComments,issues,gists,projects,pullRequests,repositoryDiscussions,repoACount,forkACount,stargazerACount,Awatchers,repoASize,AlanguageInfo,repoBCount,forkBCount,stargazerBCount,Bwatchers,repoBSize,BlanguageInfo,repoCCount,forkCCount,stargazerCCount,Cwatchers,repoCSize,ClanguageInfo,repoDCount,forkDCount,stargazerDCount,Dwatchers,repoDSize,DlanguageInfo
USER45,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,70,0,0,1,0,0,7,0,0,19,0,0,0,0,0,0,,3,9,14,13,3465840,HTML: 112584; JavaScript: 60060; CSS: 41130; PHP: 265374; SQLPL: 1103; PLSQL: 644; Jupyter Notebook: 2984945,0,0,0,0,0,,0,0,0,0,0,
USER46,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,26,0,0,0,0,0,0,0,0,7,0,5,1,0,5,1767541,Java: 188469; C: 1205079; Assembly: 164089; Makefile: 95786; Yacc: 42048; Lex: 3600; Shell: 720; C++: 67750,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER47,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER48,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,106,0,0,0,0,0,0,0,0,2,0,9,1,2,14,132185,MATLAB: 16049; Python: 99869; Jupyter Notebook: 3359; C++: 4309; Dockerfile: 989; Shell: 770; HTML: 12; CMake: 6828,0,0,0,0,0,,7,0,0,7,12601971,HTML: 49804; Python: 945869; Shell: 117488; C++: 6972031; CMake: 727720; C: 3689680; MATLAB: 35618; NSIS: 26894; Makefile: 16220; Perl: 7020; XSLT: 6736; Perl 6: 4381; Scilab: 1502; GDB: 817; Io: 191,0,0,0,0,0,
USER49,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17292,Ruby: 17292,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER50,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER51,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER52,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER53,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,72061,MATLAB: 64114; M: 274; Python: 7673,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER54,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
